Date,Open,High,Low,Close,Volume,BTC_Price_CryptoCompare,BTC_Volume_CryptoCompare,BTC_SMA_50,BTC_EMA_20,BTC_RSI,BTC_MACD,Fear_Greed_Index,BTC_Sentiment,BTC_Trends
2021-02-27,46344.7734375,48253.26953125,45269.02734375,46188.453125,45910946382,46191.39,1831237567.32,41036.4589453125,47876.85485549276,49.48742880200484,2463.3997339694038,56.0,0.0149,34
2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,53443887451,45261.03,2776726256.13,41134.1233984375,47615.98958651726,47.24955821013827,1965.5606824471247,55.0,0.0528,36
2021-03-01,45159.50390625,49784.015625,45115.09375,49631.2421875,53891300112,49635.07,3146266419.71,41359.6194140625,47807.91840565848,56.34231574788223,1911.5699487621823,38.0,-0.0674,36
2021-03-02,49612.10546875,50127.51171875,47228.84375,48378.98828125,47530897720,48501.21,2105387914.68,41615.8660546875,47862.30601285767,53.570950076064,1747.5903449633042,78.0,0.037,34
2021-03-03,48415.81640625,52535.13671875,48274.3203125,50538.2421875,53220811975,50392.55,2615513552.66,41948.1716796875,48117.15707710932,57.456794031797,1771.4489117737105,78.0,0.0992,32
2021-03-04,50522.3046875,51735.08984375,47656.9296875,48561.16796875,52343816680,48363.74,3024053725.58,42173.0678515625,48159.443828694144,53.07651383747712,1612.2387468186423,84.0,-0.1553,29
2021-03-05,48527.03125,49396.4296875,46542.515625,48927.3046875,48625928883,48775.37,2907395734.68,42367.8673828125,48232.5734342947,53.7792662315053,1498.3358344969383,77.0,-0.0099,28
2021-03-06,48899.23046875,49147.21875,47257.52734375,48912.3828125,34363564661,48892.8,1214194643.85,42609.6076953125,48297.31718459997,53.74393926432111,1390.8302597776856,77.0,0.0945,26
2021-03-07,48918.6796875,51384.3671875,48918.6796875,51206.69140625,43137459378,50964.18,1658558074.88,42910.1787109375,48574.400443804734,58.281602090542016,1473.7740960685478,76.0,0.2292,27
2021-03-08,51174.1171875,52314.0703125,49506.0546875,52246.5234375,48597428048,52405.02,2445827949.75,43239.2836328125,48924.12644320428,60.18783270848667,1604.9130005435145,81.0,0.0685,28
2021-03-09,52272.96875,54824.1171875,51981.83203125,54824.1171875,50912227385,54928.7,2898199576.25,43603.1644921875,49486.0303236134,64.51610936902914,1894.9875638724188,81.0,0.1258,33
2021-03-10,54824.01171875,57258.25390625,53290.890625,56008.55078125,57295577614,55893.31,3898251700.72,44001.9394140625,50107.22274815022,66.32767165260883,2195.143390895093,68.0,0.0954,33
2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,56772343595,57809.41,3340389094.49,44447.0868359375,50840.35592392163,68.91962110815113,2548.608483822878,73.0,0.0495,31
2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,55689944702,57256.22,3079097934.08,44977.2146484375,51458.61629723861,67.44748011410269,2758.7611665005097,70.0,-0.0672,31
2021-03-13,57343.37109375,61683.86328125,56217.97265625,61243.0859375,60669829814,61179.79,3439594034.95,45541.9611328125,52390.47054869207,72.6493190560654,3203.960122897508,74.0,0.0604,39
2021-03-14,61221.1328125,61597.91796875,59302.31640625,59302.31640625,43901225564,58998.89,2105197604.06,46086.654609375,53048.741582745206,66.93339549439848,3361.4311361242435,78.0,0.0756,39
2021-03-15,59267.4296875,60540.9921875,55393.1640625,55907.19921875,66419369890,55665.01,4297382088.92,46559.011015625,53320.97564331709,58.29294565854092,3175.6633949358,76.0,-0.0168,35
2021-03-16,55840.78515625,56833.1796875,53555.02734375,56804.90234375,59749798599,56925.01,3441195999.4,47047.7812109375,53652.778186215466,59.77167305233608,3065.5406174242235,71.0,0.0314,32
2021-03-17,56825.828125,58969.81640625,54528.62890625,58870.89453125,60258313191,58909.0,3493543493.16,47573.802109375,54149.74164764732,63.02114423906237,3109.13564581344,71.0,0.0128,30
2021-03-18,58893.078125,60116.25,54253.578125,57858.921875,55746041000,57643.32,3178687259.25,48122.329609375,54502.9969073952,60.44559326217023,3027.1323861233614,72.0,0.0074,30
2021-03-19,57850.44140625,59498.375,56643.703125,58346.65234375,49063873786,58060.21,2397999967.37,48619.940703125,54869.059329905176,61.267189921628486,2967.2948566810155,71.0,0.0189,27
2021-03-20,58332.26171875,60031.28515625,58213.296875,58313.64453125,50361731222,58101.34,1687922804.56,49099.885859375,55197.11506336659,61.1745802535081,2883.965173566008,75.0,-0.0159,27
2021-03-21,58309.9140625,58767.8984375,56005.6171875,57523.421875,51943414539,57374.95,1958214099.07,49564.963828125,55418.66809304596,58.8799474548354,2722.7749800449383,73.0,-0.0627,25
2021-03-22,57517.890625,58471.48046875,54288.15625,54529.14453125,56521454974,54095.36,2865346861.49,49993.25953125,55333.95156335111,51.063958955441336,2326.597861060691,70.0,-0.0419,27
2021-03-23,54511.66015625,55985.44140625,53470.6953125,54738.9453125,56435023914,54355.45,2444787014.61,50417.294921875,55277.28430136529,51.549266025939886,2006.4249912888556,66.0,0.0321,27
2021-03-24,54710.48828125,57262.3828125,52514.33203125,52774.265625,70567223787,52303.02,3420695083.54,50762.574453125,55038.90157028288,46.86240871613613,1575.98547447288,65.0,0.1116,30
2021-03-25,52726.74609375,53392.38671875,50856.5703125,51704.16015625,67999812841,51336.09,3617760373.16,51047.215859375,54721.30714989879,44.4897321103594,1135.4220495518384,60.0,0.1099,32
2021-03-26,51683.01171875,55137.3125,51579.85546875,55137.3125,56652197978,55055.43,2461374478.26,51411.44078125,54760.92670705129,52.75441746467055,1051.181695060397,54.0,0.0311,27
2021-03-27,55137.56640625,56568.21484375,54242.91015625,55973.51171875,47266542233,55863.73,1514783182.02,51768.02484375,54876.41099387974,54.53015132186507,1039.9074895322265,65.0,0.0773,25
